Church Name,County,Denomination,Location
Rock Hill,Kershaw,M. E.,
Bethune,Kershaw,M. E.S.,Bethune
Bethune,Kershaw,Presbyterian,Bethune
New Hope,Kershaw,S.B.C.,
Providence,Kershaw,S.B.C.,
Damascus,Kershaw,M.E.S.,Westville
Macedonia,Kershaw,M.E.,Camden
Buffalo,Kershaw,S. B. C.,
St. Paul,Kershaw,M.E.S.,
Free Will Baptist,Kershaw,Free Will Baptist,Camden
Malvern Hill,Kershaw,S.B.C.,
Malvern Hill,Kershaw,Prot. Epis.,
Beaver Dam,Kershaw,S.B.C.,
Rock Hill,Kershaw,M.E.S.,
Smyrna,Kershaw,M.E.S.,
DeKalb,Kershaw,S. B.C.,DeKalb
Mt. Zion,Kershaw,Negro Baptist,
Mt. Pilgrim,Kershaw,Negro Baptist,
Flat Rock,Kershaw,Negro Baptist,
Second Calvary,Kershaw,Negro Baptist,
Cedar Rock,Kershaw,Negro Baptist,
St. John,Kershaw,Negro Baptist,
Mill Creek,Kershaw,Negro Baptist,Bethune
Mt. Joshua,Kershaw,Negro Baptist,
Hyco,Kershaw,Negro Baptist,
Pate Mission,Kershaw,M. E. (Negro),
Weeping Mary,Kershaw,Negro Baptist,
Sanders Creek,Kershaw,Negro Baptist,
Free Will African Methodist-A. M. E. Independent Church of God,Lancaster,Free Will African Methodist-A. M. E. Independent Church of God,
St. Paul,Lancaster,A. M. E.,Lancaster
Zion Pilgrim,Lancaster,Baptist (Negro),
Frazer's Temple,Lancaster,A.M.E.Zion,
Zion,Lancaster,Methodist M.E.S.,
Pentecostal Holiness Church,Lancaster,Pentecostal Holiness,Lancaster
David's Stand,Lancaster,A.M.E.Zion,
Hopewell,Lancaster,M.E.S.,
Union,Lancaster,S.B.C.,
Pleasant Grove,Lancaster,National Baptist Convention,
White Bluff,Lancaster,S.B.C.,
Lancaster Second,Lancaster,S.B.C.,Lancaster
Tabernacle,Lancaster,M.E.S.,
White Springs S.B.C. Charlesboro,Lancaster,S.B.C.,
Bethlehem,Lancaster,S.B.C.,
Pentecostal Holiness Church of Kershaw,Lancaster,,
Christ Church,Lancaster,Prot. Epis.,Lancaster
Fork Hill,Lancaster,S.B.C.,
Oak Hill,Lancaster,S.B.C.,
Rich Hill,Lancaster,S.B.C.,
Flat Creek,Lancaster,S.B.C.,
Flint Ridge,Lancaster,S.B.C.,
Pleasant Hill,Lancaster,S.B.C.,Pleasant Hill
Gill's Creek,Lancaster,A.R.P.,
Heath Springs,Lancaster,Presbyterian,Heath Springs
Douglas,Lancaster,Presbyterian,
Lancaster,Lancaster,,
Lancaster,Lancaster,A.R.P.,Lancaster
Lancaster,Lancaster,Presbyterian,Lancaster
Pleasant Hill,Lancaster,A.R.P.,
Belair,Lancaster,M.E.S.,
Camp Creek,Lancaster,(Lower) M.E.S.,
Mt. Zion,Lancaster,A.M.E.Zion,Lancaster
St. Luke,Lancaster,M.E.S.,
Van Wyck,Lancaster,M.E.S.,Van Wyck
Calvary,Lancaster,S.B.C.,Lancaster
Salem,Lancaster,M.E.S.,Heath Springs
Grace,Lancaster,M.E.S.,Lancaster
Old Waxhaw,Lancaster,Presbyterian,
Lancaster First,Lancaster,S.B.C.,Lancaster
New Hope,Lancaster,S.B.C.,
Center Grove,Lancaster,S.B.C.,
Heath Springs,Lancaster,S.B.C.,Heath Springs
Pleasant Ridge,Lancaster,Presbyterian,Lancaster
Bethel,Lancaster,S.B.C.,
Antioch,Lancaster,S.B.C.,
High Point,Lancaster,S.B.C.,
Tirzah,Lancaster,(Lower) Presbyterian,
Shiloh,Lancaster,A.R.P.,
Unity A.R.P. Camp Creek,Lancaster,S.B.C.,
Six Mile,Lancaster,Presbyterian,
Midway,Lancaster,S.B.C.,
Van Wyck,Lancaster,Presbyterian,Van Wyck
Lancaster,Lancaster,M.E.S.,Lancaster
First Washington-Union Bright Light Assn. (Negro),Lancaster,,Lancaster
Warrior's Chapel,Lancaster,A.M.E.Zion,
Centennial,Lancaster,A.M.E.Zion,
Carup Creek,Lancaster,A.M.E.Zion,
Spring Hill,Lancaster,A.M.E.Zion,
Bethlehem,Lancaster,A.M.E.,
Pleasant Hill,Lancaster,A.M.E.Zion,Heath Springs
Salem,Lancaster,A.M.E.Zion,
Spring Hill,Lancaster,A.M.E.Zion,
North Corner,Lancaster,A.M.E.Zion,
Steel Hill,Lancaster,A.M.E.Zion,
Mt. Moriah,Lancaster,A.M.E.Zion,
Bright Light,Lancaster,Negro Baptist,Pleasant Hill
Black Jack,Lancaster,Negro Baptist,Kershaw
Spring Hill,Lancaster,S.B.C.,
Osceola,Lancaster,M.E.S.,
Beaver Creek,Lancaster,S.B.C.,
Taxahaw,Lancaster,S.B.C.,Taxahaw
Pleasant Plain,Lancaster,S.B.C.,
Pentecostal Holiness,Lancaster,Pentecostal Holiness,Lancaster
The Church of God-The,Lancaster,Ch. of God Holiness,Lancaster
New Bethel or Second,Lancaster,S.B.C.,Lancaster
Ebenezer,Lancaster,S.B.C.,
St. John,Lancaster,Negro Baptist,
St. Paul,Lancaster,Negro Baptist,
El Bethel,Lancaster,A.M.E. Zion,
Mt. Carmel,Lancaster,A.M.E.Zion,
Gold Hill,Lancaster,A.M.E.Zion,
Holiness (or Sanctified)-Holiness,Lancaster,Holiness (or Sanctified)-Holiness,
Cross Roads,Lancaster,Negro Baptist,
New Zion,Lancaster,Negro Baptist,
Gethsemane,Lancaster,Negro Baptist,
New Hope,Lancaster,A.M.E.Zion,
White Oak,Lancaster,A.M.E.Zion,
Ora,Laurens,A.R.P.,Ora
Providence,Laurens,A.R.P.,Clinton
Laurens,Laurens,A.R.P.,Laurens
St. John's,Laurens,Evan. Lutheran,Clinton
Pentecostal Holiness,Laurens,Pentecostal Holiness,Goldville
Reedy Grove-Pent,Laurens,,
Pentecostal Holiness,Laurens,Pentecostal Holiness,
Church of God Holiness,Laurens,Church of God Holiness,
Langston,Laurens,S.B.C.,
Poplar Springs,Laurens,S.B.C.,
Durbin Creek,Laurens,S.B.C.,
Warrior Creek,Laurens,S.B.C.,
Rabun,Laurens,S.B.C.,
Highland Home,Laurens,S.B.C.,
Friendship,Laurens,S.B.C.,
New Harmony,Laurens,S.B.C.,
Cedar Grove,Laurens,S.B.C.,
Mount Olive,Laurens,S.B.C.,
Gray Court,Laurens,S.B.C.,Gray Court
First,Laurens,S.B.C.,Laurens
Laurens Second,Laurens,S.B.C.,Laurens
Lucas Ave.,Laurens,S.B.C.,Watts Mill
First,Laurens,Baptist S.B.C.,Clinton
Lydia,Laurens,S.B.C.,Clinton
Goldville,Laurens,S.B.C.,Goldville
Hurricane,Laurens,Baptist Church of Christ,
Mountville,Laurens,S.B.C.,Mountville
Cross Hill,Laurens,S.B.C.,Cross Hill
Bethabara,Laurens,S.B.C.,
Princeton,Laurens,S.B.C.,Princeton
Mt. Gallagher,Laurens,S.B.C.,
Enoree,Laurens,S.B.C.,Enoree
Lanford,Laurens,S.B.C.,Lanford
Holly Grove,Laurens,Baptist,
Hopewell,Laurens,M.E.S.,
King's Chapel,Laurens,M.E.S.,
Patterson's Chapel,Laurens,M.E.S.,Lanford
Princeton,Laurens,M.E.S.,Princeton
Pentecostal Holiness,Laurens,Pentecostal Holiness,
Trinity,Laurens,M.E.S.,
Gray Court,Laurens,M.E.S.,Gray Court
Owings,Laurens,M.E.S.,Ownings
Mt. Bethel,Laurens,M.E.S.,
Shiloh,Laurens,M.E.S.,
Bramlett's,Laurens,M.E.S.,
Cross Hill,Laurens,M.E.S.,Cross Hill
Epworth,Laurens,M.E.S.,Goldville
Bethlehem,Laurens,M.E.S.,
Bailey Memorial,Laurens,M.E.S.,Clinton
Lydia,Laurens,M.E.S.,Lydia Mill
Leesville,Laurens,M.E.S.,
St. James,Laurens,M.E.S.,Watts Mill
Central,Laurens,M.E.S.,
Little River,Laurens,Presbyterian,
Duncan's Creek,Laurens,Presbyterian,
Rocky Springs,Laurens,Presbyterian,
Liberty Springs,Laurens,Presbyterian,Cross Hill
Friendship,Laurens,Presbyterian,
Bethany,Laurens,Presbyterian,
First,Laurens,Presbyterian,Clinton
New Harmony,Laurens,Presbyterian,
Shady Grove,Laurens,Presbyterian,
First,Laurens,Presbyterian,Laurens
Todd Memorial,Laurens,Presbyterian,Laurens
Lydia,Laurens,Presbyterian,Clinton
Goldville,Laurens,Presbyterian,Goldville
Lisbon,Laurens,Presbyterian,
Mountville,Laurens,Presbyterian,Mountville
Dorroh,Laurens,Presbyterian,Gray Court
Presbyterian Church,Laurens,Presbyterian,Owings
Watts Mill,Laurens,Presbyterian,Watts Mill
Mt. Pleasant,Laurens,S.B.C.,
New Prospect,Laurens,S.B.C.,Madden
New Harmony,Laurens,M.E.S.,
Laurel Hill Negro,Laurens,,
St. Paul's,Laurens,Negro Baptist,Laurens
St. John's,Laurens,Negro Baptist,
White Plain,Laurens,Negro Baptist,Mountville
Flat Ruff,Laurens,Negro Baptist,
Zion Hill,Laurens,Negro Baptist,
Hopewell,Laurens,Negro Baptist,
Center Rabun,Laurens,Negro Baptist,Gray Court
Church of God-Evening Light (Negro),Laurens,Church of God-Evening Light (Negro),Laurens
Bethel,Laurens,A.M.E.,Laurens
Mt. Pisgah,Laurens,Presbyterian (Negro),Laurens
Church of the Epiphany,Laurens,Prot. Epis.,Laurens
Sandy Springs,Laurens,M.E.S.,
Thornwell Memorial,Laurens,Presbyterian,Clinton
First,Laurens,M.E.S.,Laurens
Dials,Laurens,M.E.S.,Laurens
Rock Bridge,Laurens,Presbyterian,
Old Fields,Laurens,Presbyterian,Ora
Chestnut Ridge,Laurens,S.B.C.,
Memorial Presbyterian Church,Laurens,Presbyterian,Ware Shoals
Broad Street,Laurens,Methodist,Clinton
Soul's Chapel,Laurens,M.E.S.,
Calvary,Laurens,S.B.C.,Clinton Mill
Waterloo,Laurens,S.B.C.,Waterloo
Beaverdam,Laurens,S.B.C.,
Rocky Springs (Negro),Laurens,,
Cedar Grove (Negro),Laurens,,
Good Hope,Laurens,Negro Baptist,
Bethel,Laurens,A.M.E.,
Smyrna,Laurens,A.M.E.,
New Hope,Laurens,A.M.E.,Mountville
Head Springs,Laurens,A.R.P.,
Mount Zion,Laurens,Negro Baptist,
New Grove,Laurens,Negro Baptist,
Pitt's,Laurens,Presbyterian (Negro),
Brown's Tabernacle,Laurens,Church of God (Negro),Laurens
Duncan's Creek,Laurens,Negro Baptist,
Union,Laurens,S.B.C.,
Bishopville,Lee,Presbyterian,Bishopville
Lynchburg,Lee,Presbyterian,Lynchburg
Bishopville,Lee,S.B.C.,Bishopville
Lynchburg,Lee,S.B.C.,Lynchburg
St. Philip's,Lee,Prot. Epis.,
Bethany,Lee,M.E.S.,
Mt. Zion,Lee,Presbyterian,
Bishopville,Lee,(New Bethlehem) M.E.S.,Bishopville
St. Matthew,Lee,A.M.E.,Lynchburg
Warren Chapel,Lee,C.M.E.,
Lynchburg,Lee,M.E.S.,Lynchburg
Bishopville,Lee,Presbyterian (Negro),Bishopville
Savannah Advent Christian Church,Lee,Christian,
Liberty Hill,Lee,S.B.C.,
Hebron,Lee,M.E.S.,
St. Phillip's,Lee,A.M.E.,
Ashland,Lee,M.E.S.,
Scope Avenue,Lee,A.M.E.,
Cedar Creek,Lee,S.B.C.,
Turkey Creek,Lee,Presbyterian,
Pate's Chapel,Lee,Negro Baptist,
Little Brown Chapel,Lee,Reformed Mis. Baptist,
Shaw's Mission,Lee,A.M.E.,
Bethany,Lee,M.E.S.,
St. Matthew,Lee,M.E.S.,
Smart Mission,Lee,A.M.E.,
High Hill-True Lights Church of Christ,Lee,,
Jerusalem,Lee,Negro Baptist,
Gum Springs,Lee,Negro Baptist,
New Hope,Lee,Negro Baptist,Lucknow
Mt. Zion,Lee,C.M.E.,Bishopville
St. Matthew,Lee,Negro Baptist,
Little Zion,Lee,Negro Baptist,
New Jerusalem,Lee,Negro Baptist,
Salem,Lee,M.E.S.,
Negro-Interdenominational,Lee,Negro-Interdenominational,
Lucknow,Lee,M.E.S.,Lucknow
Mt. Pleasant,Lee,Primitive Baptist,
Sandy Grove,Lee,C.M.E.,
New Hope,Lee,Presbyterian,
Kelly,Lee,Church of God Holiness,
Mt. Herman,Lee,Negro Baptist,Bishopville
Wayside,Lee,S.B.C.,
Concord,Lee,Methodist Protestant,
Liberty,Lee,Negro Baptist,
Ebenezer,Lee,C.M.E.,
Mispah,Lee,S.B.C.,
Church of God-Holiness (Negro),Lee,Church of God-Holiness (Negro),
Sanders Bluff,Lee,M.E. (Negro),
Pleasant Hill,Lee,Meth. Protestant,
Calvary-All Saints,Lee,Holiness,
Savannah,Lee,Negro Baptist,Elliott
Philadelphia,Lee,M.E. (Negro),
St. Paul No. 2,Lee,M.E. (Negro),
Mt. Olive,Lee,A.M.E.,
Elizabeth,Lee,Negro Baptist,
Marshall,Lee,M.E.S.,
Spring Hill,Lee,A.M.E.,
Hepzibah,Lee,Presbyterian,
St. John,Lee,M.E.S.,
Bethlehem,Lee,Negro Baptist,
Unionville,Lee,"(""Flemmon's Shade"" 1869) A.M.E.",
St. John,Lee,A.M.E.,
Mt. Moriah,Lee,M.E. (Negro),
St. Luke,Lee,M.E.S.,Elliott
Elliott,Lee,S.B.C.,Elliott
St. Andrew's Chapel,Lee,Holiness Church of God,
Mt. Sinai,Lee,Presbyterian (Negro),
Mt. Lisbon,Lee,Presbyterian (Negro),
New Bethel,Lee,Negro Baptist,
New Zion,Lee,A.M.E.,
Mt. Beulah,Lee,M.E. (Negro),
Emanuel,Lee,A.M.E.,
St. Black,Lee,Negro Baptist,
New Bethel,Lee,A.M.E.,
Barnettville,Lee,Negro Baptist,
St. Paul No. 1,Lee,M.E. (Negro),
New Heaven,Lee,,
Green Bay,Lee,Negro Baptist,
King Emanuel,Lee,Negro Baptist,
Rembert,Lee,M.E.S.,
Bethlehem,Lee,Negro Presbyterian,
Mt. Pleasant,Lee,A.M.E.,
Pate's Grove,Lee,Holiness Church of God (Negro),
St. John's,Lee,Catholic-Roman Catholic,Bishopville
Bishopville,Lee,Hebrew Congregation-Orthodox,Bishopville
St. Stephen's,Lexington,Unit.Evang. Lutheran,Lexington
Pisgah,Lexington,Unit. Evang. Lutheran,
Mt. Hermon,Lexington,Unit. Evang. Lutheran,
Mt. Hebron,Lexington,M.E.S.,
Red Bank,Lexington,M.E.S.,Red Bank
Mt. Horek,Lexington,M.E.S.,
Red Bank,Lexington,S.B.C.,Red Bank
Lexington,Lexington,S.B.C.,Lexington
Old Lexington,Lexington,S.B.C.,
Round Hill,Lexington,S.B.C.,
Mt. Pleasant,Lexington,Negro Baptist,
Providence,Lexington,Evang. Luth. (Negro),
Mt. Zion,Lexington,A.M.E.,
Nazareth,Lexington,Evang. Luth.,
St. James,Lexington,United Evan.Luth.,Red Bank
Mt. Olive,Lexington,Evang. Luth.,Irmo
Zion,Lexington,Unit. Lutheran,
Lexington,Lexington,M.E.S.,Lexington
St. John's,Lexington,Unit.Evang.Luth.,
Pilgrim,Lexington,Evang.Luth.,
Bethany,Lexington,Unit. Evang. Luth.,
St. David's,Lexington,Evang.Luth,
Cayce,Lexington,M.E.S.,Cayce
First,Lexington,S.B.C.,West Columbia
Cayce,Lexington,S.B.C.,Cayce
Mt. Tabor,Lexington,Unit. Evang. Luth.,W. Columbia
Holy Trinity,Lexington,Evang. Luth.,W. Columbia
Swansea,Lexington,S.B.C.,Swansea
Oak Grove,Lexington,M.E.S.,
Mt. Pleasant,Lexington,Negro Baptist,Swansea
Zion,Lexington,Holiness (Negro),Gaston
Swansea,Lexington,M.E.S.,Swansea
Calvary,Lexington,M.E.S.,
Sardis,Lexington,S.B.C.,
Good Shepherd,Lexington,Evang. Luth.,Swansea
Ebenezer,Lexington,M.E.S.,
Kings Grove,Lexington,S.B.C.,
Pelion,Lexington,M.E.S.,Pelion
Hall Hill,Lexington,Negro Baptist,
Sandy Run,Lexington,S.B.C.,Gaston
Grace,Lexington,Evang. Luth.,Gilbert
Brookland,Lexington,M.E.S.,W. Columbia
St. Peter's,Lexington,(Meetzes) Evan.Luth.,
St. Matthews,Lexington,Evang.Luth.,
St. Paul's,Lexington,Evang.Luth.,
Holy Trinity,Lexington,Evang.Luth.,Pelion
Mt. Horeb,Lexington,Evang. Luth.,Chapin
Beulah,Lexington,M.E.S.,
Shiloh,Lexington,M.E.S.,Dixiana
Gilbert,Lexington,M.E.S.,Gilbert
St. John's,Lexington,Evang. Luth,
Florence,Lexington,S.B.C.,
Cedar Grove,Lexington,Evang. Luth,
Macedonia,Lexington,Negro Baptist,Irmo
St. Paul's,Lexington,Negro Baptist,Lexington
Zion Hopewell,Lexington,Negro Baptist,
Bethel,Lexington,A.M.E.,Lexington
St. Anne's,Lexington,Prot.Epis.,Cayce
Young Chapel,Lexington,A.M.E.,Irmo
Emanuel,Lexington,A.M.E.,
Pleasant Spring,Lexington,A.M.E.,
Irmo,Lexington,Presbyterian (Negro),Irmo
St. John,Lexington,C.M.E.,
Calvary,Lexington,A.M.E.,Leesville
Friendship,Lexington,Negro Baptist,Leesville
Oak Oak Grove,Lexington,S.B.C.,
Steedman,Lexington,S.B.C.,Steedman
Convent,Lexington,S.B.C.,
Pine Grove,Lexington,S.B.C.,
Pond Branch,Lexington,M.E.S.,
St. Jacobs,Lexington,Evang.Luth.,
Ebenezer,Lexington,M.E.S.,
Leesville,Lexington,M.E.S.,Leesville
St. John's,Lexington,M.E.S.,Batesburg
Boiling Springs,Lexington,M.E.S.,
Shiloh,Lexington,M.E.S.,
Bethel,Lexington,M.E.S.,
St. James,Lexington,Evang. Lutheran,Summit
St. John's,Lexington,Evang. Luth.,
(Poplar Spring) Enon,Lexington,Evang.Luth.,
Union,Lexington,Evang.Luth.,
St. Andrews,Lexington,Evang.Luth,
Wittenburg,Lexington,Evang.Luth.,Leesville
Emanuel,Lexington,Evang.Luth.,Long Branch Community
Leesville,Lexington,S.B.C.,Leesville
Faith,Lexington,Evang.Luth.,Batesburg
Batesburg-Leesville,Lexington,Presbyterian,Batesburg-Leesville
Harmony,Lexington,S.B.C.,
Samaria,Lexington,S.B.C.,
Batesburg,Lexington,S.B.C.,Batesburg
New Hope,Lexington,S.B.C.,
Antioch,Lexington,S.B.C.,
Sharon,Lexington,M.E.S.,
Olive Branch,Lexington,Negro Baptist,Batesburg
Mt. Zion,Lexington,Negro Baptist,Batesburg
St. Matthew,Lexington,C.M.E.,Leesville
Pisgah,Lexington,A.M.E.,Dixiana
St. James,Lexington,C.M.E.,Batesburg
St. Michaels,Lexington,(Blue Church) Evang.Luth.,
Salem,Lexington,M.E.S.,
St. Peters,Lexington,Evang.Luth.,
Bethlehem,Lexington,S.B.C.,
Middleburg,Lexington,M.E.S.,Batesburg
Middleburg,Lexington,S.B.C.,Batesburg
Providence,Lexington,S.B.C.,
St. Paul's,Lexington,Prot.Epis.,Batesburg-Leesville
Union Church,Lexington,M.E.S.,Irmo
Pleasant Hill,Lexington,S.B.C.,
W. Columbia,Lexington,Presbyterian,W. Columbia
Batesburg,Lexington,Christian,Batesburg
Marion,Marion,Presbyterian,Marion
Church of England,Marion,,Prot.Epis.
Beulah,Marion,C.M.E.,Mullins
Church of God-Holiness (Negro),Marion,Church of God-Holiness (Negro),Sellers
House,Marion,of God-Pent.Holiness (Negro),Mullins
St. John,Marion,Free Will Baptist (Negro),
Christ Church,Marion,Negro Baptist,
Eulonia,Marion,S.B.C.,
St. John,Marion,Free Will Baptist,Sellers
St. Paul,Marion,Negro Baptist,Mullins
Ebenezer,Marion,A.M.E.,Mullins
First,Marion,M.E.S.,Marion
Sellers,Marion,M.E.S.,Sellers
St. Matthews,Marion,Negro Baptist,
Beulah,Marion,Negro Baptist,
St. Stephens,Marion,Free Will Baptist,
Buck Swamp,Marion,Freewill Baptist,
Reedy Creek,Marion,S.B.C.,
New Life,Marion,Interdenom.,
Friendship,Marion,Negro Baptist,Nichols
Williams Chapel,Marion,A.M.E.,Nichols
Mt. Olive,Marion,Negro Baptist,Mullins
St. John's,Marion,Negro Baptist,
Nelson's Church,Marion,Holiness (Negro),Marion
Marion,Marion,S.B.C.,Marion
First,Marion,S.B.C.,Nichols
St. John,Marion,Negro Baptist,Nichols
Page's Mill,Marion,Meth.Prot.,
Church of God-Holiness,Marion,Church of God-Holiness,
Zion Hill,Marion,Apostolic Faith,Mullins
Church of England Chapel,Marion,Prot. Epis.,Sandy Bluff Section
Tabernacle,Marion,Interdenom.,Mullins
Mullins,Marion,Presbyterian,Mullins
First,Marion,S.B.C.,Mullins
Centenary,Marion,M.E.S.,Centenary
Church of the Advant,Marion,Prot.Epis.,Marion
Millers,Marion,M.E.S.,
Pleasant Hill,Marion,M.E.S.,
Spring Branch,Marion,M.E.S.,
Olivet,Marion,M.E.S.,Rains
Tranquil,Marion,M.E.S.,
Friendship,Marion,S.B.C.,
Spring Street Church,Marion,M.E.S.,Marion
Pee Dee,Marion,S.B.C.,Gresham
Old Ark,Marion,M.E.S.,
Little Bethel,Marion,S.B.C.,
Wahee,Marion,M.E.S.,
Ariel,Marion,S.B.C.,
Pine Grove,Marion,S.B.C.,
Emanuel,Marion,S.B.C.,
Oak Grove,Marion,S.B.C.,
Britton's Neck,Marion,S.B.C.,
Nebo,Marion,S.B.C.,
St. Paul Holiness Church,Marion,Ch. of God (Negro),Marion
Bethlehem,Marion,Negro Baptist,Marion
Carolina Marion,Marion,,
St. James,Marion,Reformed Methodist (Negro),Marion
Ellen,Marion,Hol.-Ch.of God (Negro),Marion
Seventh Day Adventist (Negro),Marion,Seventh Day Adventist (Negro),
Chapel-Free Will Mission,Marion,Holiness (Negro),Mullins
Mount Carmel,Marion,Negro Baptist,Mullins
James Chapel-Fire Baptised,Marion,Hol. of God (Negro),Marion
Six Mt. Zion,Marion,Negro Baptist,Mullins
Mt. Pisgah,Marion,Negro Baptist,Marion
St. John,Marion,A.M.E.,Marion
Bethel Bethel,Marion,A.M.E.,Marion
Christ Church,Marion,Prot. Epis.,Mullins
Nichols,Marion,S. B.C.,Nichols
Gapway,Marion,S.B.C.,
Mill Creek,Marion,Negro Baptist,Mullins
Second,Marion,Presbyterian (Negro),Marion
Old Field,Marion,Negro Baptist,Mullins
New Life Freewill Mission,Marion,Holiness (Negro),
Holy Church,Marion,Freewill Negro Baptist,Marion
Nazarene Negro Baptist,Marion,Nazarene Negro Baptist,Mullins
West Marion Negro Baptist Chapel,Marion,Negro Baptist,Marion
Center,Marion,M.E.S.,Mullins
Nichols,Marion,M.E.S.,Nichols
Terrells Bay,Marion,S.B.C.,Centenery
St. Mary's,Marion,A.M.E.,
Bethlehem,Marion,A.M.E.,
Effingham,Marion,Negro Baptist,
Jerusalem,Marion,Negro Baptist,Rains
Centerville,Marion,Negro Baptist,Centenary
Pleasant Grove,Marion,Negro Baptist,
Red Hill,Marion,Negro Baptist,
White Hill,Marion,Negro Baptist,
Libera-Carolina,Marion,Holiness (Negro),
St. James,Marion,A.M.E.,
Bethel,Marion,A.M.E.,
Zion-Carolina,Marion,Holiness (Negro),
Nebo,Marion,M.E.S.,
Shiloh,Marion,M.E.S.,
Church of God,Marion,Church of God,Marion
Macedonia,Marion,M.E.S.,Mullins
Union,Marion,S.B.C.,
Zion,Marion,M.E.S.,
John Wesley,Marion,A.M.E.,
St. Paul,Marion,Negro Baptist,
Good Hope,Marion,A.M.E.,Centenary
Soule's Chapel,Marion,A.M.E.,
Mt. Zion,Marion,A.M.E.,Zion
Friendship,Marion,A.M.E.,
St. Paul,Marion,Fire Baptized Holiness (Negro),Sellers
Weeping Willow,Marion,Negro Baptist,
Johnson Chapel,Marion,Fire Baptized Hol. (Negro),
Central,Marion,M.E.S.,
Soule's Chapel,Marion,M.E.S.,Gresham
The,Marlboro,Church of God-Holiness,Bennettsville
Pine Grove,Marlboro,M.E.S.,
New Harley,Marlboro,Negro Baptist,
Evans A.M.E. Zion Chapel,Marlboro,A.M.E. Zion,
Smyrna,Marlboro,M.E.S.,
Reedy Branch,Marlboro,A.M.E.,
Ashbury,Marlboro,M.E.S.,
Tatum,Marlboro,S.B.C.,Tatum
Bethlehem,Marlboro,M.E.S.,Brownship Township
Shiloh,Marlboro,M.E.S.,Bennettsville
St. Daniel's African Zion,Marlboro,,Dunbar
Clio,Marlboro,S.B.C.,Clio
Macedonia,Marlboro,Negro Baptist,Bennettsville
Antioch,Marlboro,M.E.S.,
Mt. Zion Tabernacle,Marlboro,Hol. (Negro),Bennettsville
Saren,Marlboro,S.B.C.,
Second,Marlboro,Negro Baptist,Bennettsville
Triumph,Marlboro,Hol.Ch.of God (Negro),
Salem,Marlboro,S.B.C.,
Mt. Olive Holiness Church (Negro),Marlboro,Holiness,Bennettsville
Beaver Dam,Marlboro,Mis. Baptist,McColl
Hopewell,Marlboro,M.E.S.,Tatum
First Ch. of the,Marlboro,Nazarene,Bennettsville
Freewill Baptist,Marlboro,Freewill Baptist,
Ebenezer,Marlboro,M.E.S.,
Fair Plains,Marlboro,A.M.E.,
Level Green,Marlboro,M.E.S.,
Boykin,Marlboro,M.E.S.,
Bruton's Form,Marlboro,S.B.C.,
St. Mathews Chapel,Marlboro,Free Will Baptist (Negro),
Tatum,Marlboro,Presbyterian,Tatum
Hickory Grove,Marlboro,S.B.C.,
St. Michael's,Marlboro,Methodist (Negro),Bennettsville
Mt. Tabor,Marlboro,Negro Baptist,
St. Peter's Chapel,Marlboro,A.M.E. Zion,Clio
Shiloh,Marlboro,Baptist,Bennettsville
Tatum,Marlboro,M.E.S.,Tatum
Clio,Marlboro,M.E.S.,Clio
Hebron,Marlboro,M.E.S.,
McColl,Marlboro,Presbyterian,McColl
Dunbar,Marlboro,Presbyterian,Dunbar
Saw Mill,Marlboro,Mis. Baptist,
Parnassus,Marlboro,M.E.S.,
Mt. Zion,Marlboro,S.B.C.,
New Zion,Marlboro,A.M.E.,Clio
St. Michael's,Marlboro,Methodist (Negro),Bennettsville
St. Paul's,Marlboro,Prot. Epis.,Bennettsville
Mt. Hebron Pres. (Negro),Marlboro,,
Great Pee Dee,Marlboro,Presbyterian,
Clio,Marlboro,Presbyterian,Clio
Pressley Memorial,McCormick,A.R.P.,McCormick
McCormick,McCormick,M.E.S.,McCormick
McCormick,McCormick,S.B.C.,McCormick
Asbury,McCormick,M.E.S.,Meriwether
Bethlehem,McCormick,S.B.C.,Clarks Hill
Plum Branch,McCormick,S.B.C.,Plum Branch
Modoc,McCormick,S.B.C.,Modoc
St. Paul,McCormick,M.E.S.,Plum Branch
Springfield,McCormick,A.M.E.,
Bethany,McCormick,Negro Baptist,Meriwether
Hopewell,McCormick,Negro Baptist,
The McKissick Memo.-Undenom. -DeLaLowe School,McCormick,,
St. Stephens,McCormick,Prot. Epis.,Willington
Willington,McCormick,Baptist-SBC,Willington
Buffalo,McCormick,S.B.C.,
Parksville,McCormick,SBC,Parksville
Mt. Carmel,McCormick,Presbyterian,Mt. Carmel
Mt. Carmel,McCormick,A.R.P.,Mt. Carmel
Laurel Grove,McCormick,Negro Baptist,
Hosannah,McCormick,Negro Baptist,Modoc
Holy Springs,McCormick,Negro Baptist,
St. Mary,McCormick,A.M.E.,
New Hope,McCormick,Negro Baptist,
Harper's Chapel,McCormick,Ch. of God,Mt. Carmel
Bethany,McCormick,Negro Baptist,McCormick
Pine Grove,McCormick,A.M.E.,
Bordeau,McCormick,M.E.S.,
Hopewell,McCormick,Presbyterian,
Shiloh,McCormick,A.M.E.,
Bethany,McCormick,S.B.C.,
Republican,McCormick,M.E.S.,
Mt. Vernon,McCormick,M.E.S.,
Long Cane,McCormick,A.R.P.,
Spring Grove,McCormick,Negro Baptist,
Sumner Memorial,Newberry,Unit. Evang. Lutheran,Newberry
Mayes Memorial,Newberry,Lutheran,Newberry
Church of the Redeemer,Newberry,Luth.,Newberry
